                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8853,                 4.9301,                 2.1347,                0.03902,                0.08791,                0.01623,                0.00434,                 2.6347,                 3.4942,                 2.0805,               0.070833,              0.0032407,              0.0032407
                      2,                 2.4234,                 2.8977,                 1.7283,                0.12577,                0.12088,                0.07363,                  0.024,                  2.544,                 3.0896,                 1.9212,               0.040768,               0.006509,               0.006509
                      3,                 2.3275,                 2.9119,                 1.6442,                0.00949,                0.35165,                0.02072,                0.00713,                 2.6922,                 3.8777,                 1.9894,               0.010637,              0.0097112,              0.0097112
                      4,                 2.3324,                 2.9408,                 1.6751,                0.56971,                0.04396,                0.10058,                0.03709,                 2.7405,                 3.7698,                 1.8847,               0.009703,               0.009703,               0.009703
                      5,                 2.3091,                  2.421,                 1.6234,                0.18819,                0.12088,                0.08299,                0.02128,                 2.8614,                 3.5527,                 2.0408,               0.009604,               0.009604,               0.009604
                      6,                 2.2616,                 2.3634,                 1.5555,                0.20437,                0.18681,                0.13529,                0.05354,                 2.3603,                  2.837,                 1.6637,               0.009505,               0.009505,               0.009505
                      7,                 2.2338,                 2.4005,                 1.5874,                0.20534,                0.18459,                 0.1061,                0.03523,                 2.5538,                 3.4305,                 1.8491,               0.009406,               0.009406,               0.009406
                      8,                  2.241,                 2.1242,                 1.5418,                0.48141,                0.26374,                0.27888,                0.10077,                  2.416,                 2.4846,                 1.7697,               0.009307,               0.009307,               0.009307
                      9,                 2.1898,                 2.0365,                 1.5774,                0.24539,                0.20879,                0.12055,                0.03942,                  2.531,                 4.4302,                 1.8686,               0.009208,               0.009208,               0.009208
                     10,                 2.0944,                 1.8982,                 1.5232,                0.30115,                0.34066,                0.24696,                0.08183,                 2.3706,                 2.5947,                  1.716,               0.009109,               0.009109,               0.009109
                     11,                 2.1246,                  1.937,                 1.4718,                0.48068,                0.32553,                0.32657,                0.11655,                 2.1206,                 2.2264,                 1.6499,                0.00901,                0.00901,                0.00901
                     12,                 2.1197,                 1.8002,                 1.5235,                0.57814,                0.32967,                0.36401,                0.13923,                 2.3229,                 2.1115,                 1.7328,               0.008911,               0.008911,               0.008911
                     13,                 2.1198,                  1.828,                 1.5208,                0.33457,                0.37573,                0.29672,                0.09535,                 2.3338,                 2.5035,                 1.7779,               0.008812,               0.008812,               0.008812
                     14,                 2.1125,                 1.8123,                  1.499,                0.41913,                0.40659,                0.31815,                0.12791,                 2.1451,                 2.0173,                 1.6311,               0.008713,               0.008713,               0.008713
                     15,                 2.0219,                 1.7325,                  1.458,                0.41175,                0.36264,                0.31375,                0.12382,                 2.2742,                 2.1138,                 1.7073,               0.008614,               0.008614,               0.008614
                     16,                 2.0156,                  1.663,                 1.4571,                0.51609,                0.43956,                0.39807,                0.14423,                  2.201,                 1.8546,                 1.6079,               0.008515,               0.008515,               0.008515
                     17,                 2.0089,                 1.7073,                 1.4282,                0.56242,                0.38462,                0.42068,                0.17536,                 2.2029,                  1.943,                 1.6225,               0.008416,               0.008416,               0.008416
                     18,                 1.9786,                 1.5694,                 1.4286,                0.51549,                0.31868,                0.33146,                0.13695,                 2.2692,                 2.1346,                 1.6796,               0.008317,               0.008317,               0.008317
                     19,                 1.9997,                 1.5872,                 1.4635,                0.48735,                0.36566,                0.28543,                0.09502,                 2.4112,                 2.4391,                 1.7631,               0.008218,               0.008218,               0.008218
                     20,                 1.9727,                 1.5482,                 1.4298,                0.41043,                0.36264,                0.33075,                0.13737,                 2.1617,                 2.0977,                 1.6602,               0.008119,               0.008119,               0.008119
                     21,                 1.9026,                 1.5192,                 1.3768,                0.55571,                0.41758,                0.40509,                0.16085,                 2.1449,                 2.0104,                 1.6122,                0.00802,                0.00802,                0.00802
                     22,                 1.9004,                 1.4588,                 1.3983,                0.60924,                0.41124,                0.44282,                0.17495,                 2.1234,                 1.8943,                 1.5943,               0.007921,               0.007921,               0.007921
                     23,                 1.8992,                 1.4618,                 1.4086,                0.61299,                 0.3956,                0.40665,                 0.1636,                 2.1313,                 1.9497,                 1.6169,               0.007822,               0.007822,               0.007822
                     24,                 1.8672,                 1.4066,                 1.3627,                0.65553,                0.34066,                0.40094,                0.15115,                 2.2306,                  1.815,                 1.6348,               0.007723,               0.007723,               0.007723
                     25,                 1.8272,                 1.3426,                 1.3449,                0.50482,                0.46154,                0.38081,                0.15861,                 2.1183,                 1.8524,                 1.5891,               0.007624,               0.007624,               0.007624
                     26,                 1.7734,                 1.3363,                 1.3593,                0.47537,                0.46154,                0.44402,                0.17414,                 2.1408,                 1.7889,                 1.6078,               0.007525,               0.007525,               0.007525
                     27,                 1.7903,                 1.3033,                  1.323,                0.65638,                0.43956,                0.50429,                0.18846,                 2.1031,                  1.769,                 1.5795,               0.007426,               0.007426,               0.007426
                     28,                 1.8328,                 1.3278,                 1.3393,                 0.5655,                0.42857,                0.43401,                0.15768,                 2.3024,                 1.8774,                 1.6524,               0.007327,               0.007327,               0.007327
                     29,                 1.7351,                 1.2547,                 1.3099,                0.59301,                0.41758,                0.41719,                0.17168,                 2.2336,                 1.7628,                 1.6393,               0.007228,               0.007228,               0.007228
                     30,                 1.7104,                 1.2345,                 1.2766,                0.52525,                0.46154,                 0.4453,                0.17878,                 2.1127,                 1.7541,                  1.585,               0.007129,               0.007129,               0.007129
                     31,                 1.7412,                 1.2504,                  1.289,                0.61508,                  0.439,                0.41155,                0.17184,                 2.1951,                  1.848,                 1.6315,                0.00703,                0.00703,                0.00703
                     32,                 1.7505,                 1.2305,                 1.3098,                0.64745,                0.48352,                0.51455,                0.21467,                 2.1274,                 1.8056,                 1.5677,               0.006931,               0.006931,               0.006931
                     33,                  1.684,                 1.1617,                 1.2904,                0.64816,                0.49451,                0.49346,                0.21308,                  2.091,                 1.6521,                 1.6072,               0.006832,               0.006832,               0.006832
                     34,                 1.7012,                 1.1868,                 1.2858,                0.61105,                0.51794,                 0.4883,                0.21342,                 2.0297,                 1.7009,                  1.532,               0.006733,               0.006733,               0.006733
                     35,                 1.6748,                 1.1807,                 1.2679,                0.74581,                 0.3956,                0.42461,                0.17409,                 2.1118,                 1.7786,                 1.5922,               0.006634,               0.006634,               0.006634
                     36,                 1.5919,                  1.098,                 1.2346,                0.59724,                0.31868,                0.34837,                0.11732,                 2.3157,                 2.0198,                 1.7491,               0.006535,               0.006535,               0.006535
                     37,                 1.6112,                 1.0797,                 1.2239,                0.58712,                0.47253,                0.45782,                 0.1986,                 2.0724,                 1.6179,                 1.5833,               0.006436,               0.006436,               0.006436
                     38,                 1.5985,                 1.0515,                 1.2216,                0.55369,                0.48352,                0.46183,                0.20369,                 2.1703,                  1.688,                 1.6108,               0.006337,               0.006337,               0.006337
                     39,                 1.5728,                 1.0706,                 1.2023,                0.55457,                0.40659,                0.41458,                0.17926,                 2.2952,                 1.8729,                 1.6656,               0.006238,               0.006238,               0.006238
                     40,                 1.5983,                 1.0556,                 1.2066,                0.61756,                0.43956,                0.46587,                0.21675,                 2.1059,                 1.6208,                 1.5989,               0.006139,               0.006139,               0.006139
                     41,                 1.5646,                 1.0234,                 1.2026,                0.59623,                0.50306,                0.47576,                0.21718,                 2.0542,                 1.7713,                 1.5951,                0.00604,                0.00604,                0.00604
                     42,                 1.5532,                0.99514,                 1.1955,                 0.5995,                0.48352,                 0.4748,                0.23398,                 2.0343,                 1.7633,                 1.5624,               0.005941,               0.005941,               0.005941
                     43,                 1.5331,                0.99012,                 1.2064,                0.69752,                0.48352,                0.51737,                0.23272,                 2.1086,                 1.6814,                 1.5973,               0.005842,               0.005842,               0.005842
                     44,                 1.5428,                 0.9703,                   1.17,                0.62563,                0.51423,                0.50267,                   0.25,                  1.999,                 1.6548,                 1.5768,               0.005743,               0.005743,               0.005743
                     45,                 1.4732,                0.91844,                 1.1605,                0.65842,                0.48352,                 0.5245,                0.23058,                 2.0821,                 1.5853,                 1.6438,               0.005644,               0.005644,               0.005644
                     46,                 1.5184,                0.97569,                 1.1715,                0.63602,                0.43956,                0.41773,                0.17028,                 2.1331,                 1.7862,                 1.6355,               0.005545,               0.005545,               0.005545
                     47,                 1.4547,                0.90625,                 1.1451,                0.76019,                 0.4529,                0.49972,                0.22765,                 2.0401,                 1.5741,                 1.5653,               0.005446,               0.005446,               0.005446
                     48,                 1.5059,                0.96572,                 1.1856,                0.70313,                0.48352,                0.51064,                0.22102,                 1.9858,                 1.5963,                 1.5383,               0.005347,               0.005347,               0.005347
                     49,                  1.421,                0.90493,                 1.1256,                0.71493,                0.51648,                0.56347,                0.25596,                 2.0463,                  1.538,                 1.5519,               0.005248,               0.005248,               0.005248
                     50,                 1.4214,                0.87022,                 1.1211,                0.76824,                0.47253,                0.54189,                0.24877,                 2.0414,                 1.5807,                 1.5618,               0.005149,               0.005149,               0.005149
                     51,                 1.4301,                0.87651,                  1.148,                0.75089,                0.43956,                0.48141,                0.20688,                 2.1214,                 1.7919,                  1.617,                0.00505,                0.00505,                0.00505
                     52,                 1.3967,                0.85238,                 1.1269,                0.68709,                0.43438,                0.47613,                0.20145,                  2.154,                   1.76,                 1.5798,               0.004951,               0.004951,               0.004951
                     53,                 1.3739,                0.83247,                  1.112,                0.64993,                0.48968,                0.47506,                0.19506,                 2.1283,                 1.6913,                  1.571,               0.004852,               0.004852,               0.004852
                     54,                 1.3808,                0.84135,                 1.1258,                0.66085,                0.49451,                0.50039,                 0.2147,                 2.0601,                 1.6492,                 1.5723,               0.004753,               0.004753,               0.004753
                     55,                 1.3543,                0.80681,                 1.1033,                0.66103,                0.46154,                0.49745,                0.22673,                 2.0782,                 1.7227,                   1.57,               0.004654,               0.004654,               0.004654
                     56,                 1.3642,                0.80725,                 1.0933,                0.75338,                0.47253,                0.51053,                0.21809,                 2.0922,                 1.6437,                 1.5306,               0.004555,               0.004555,               0.004555
                     57,                 1.3294,                0.77922,                 1.0924,                0.64982,                0.51648,                0.48817,                0.20451,                 2.1068,                  1.688,                 1.5435,               0.004456,               0.004456,               0.004456
                     58,                 1.3228,                0.77594,                  1.089,                0.73714,                0.49451,                 0.5236,                0.22627,                 2.0873,                 1.6124,                 1.5549,               0.004357,               0.004357,               0.004357
                     59,                 1.3247,                0.75412,                 1.0959,                 0.6959,                0.53846,                0.56502,                0.24311,                 2.1295,                 1.5861,                 1.5801,               0.004258,               0.004258,               0.004258
                     60,                  1.305,                0.76658,                 1.0777,                0.73313,                0.47253,                0.53877,                0.23978,                 2.1076,                  1.584,                 1.5724,               0.004159,               0.004159,               0.004159
                     61,                 1.2852,                0.75873,                 1.0608,                 0.6915,                0.51727,                0.55705,                0.25196,                 2.1314,                 1.6282,                 1.6047,                0.00406,                0.00406,                0.00406
                     62,                 1.2723,                0.72965,                 1.0606,                0.71794,                0.50349,                0.55047,                0.24217,                 2.0972,                 1.6708,                 1.6079,               0.003961,               0.003961,               0.003961
                     63,                 1.2726,                0.72228,                 1.0574,                0.75104,                0.51648,                0.57568,                0.24503,                 2.1356,                  1.544,                 1.6433,               0.003862,               0.003862,               0.003862
                     64,                 1.2485,                0.73104,                 1.0407,                0.83602,                0.50426,                0.57977,                0.27227,                  2.045,                 1.5352,                 1.5801,               0.003763,               0.003763,               0.003763
                     65,                  1.234,                0.72987,                 1.0457,                0.66864,                0.58242,                0.54701,                0.25329,                  2.071,                 1.5143,                  1.582,               0.003664,               0.003664,               0.003664
                     66,                 1.1731,                0.68455,                 1.0333,                0.67503,                0.41758,                 0.4399,                0.20151,                 2.1729,                 1.7201,                 1.6444,               0.003565,               0.003565,               0.003565
                     67,                 1.1889,                0.68474,                 1.0358,                0.71947,                0.47916,                0.52222,                0.23988,                 2.1153,                 1.7535,                 1.5751,               0.003466,               0.003466,               0.003466
                     68,                 1.2124,                0.69967,                 1.0304,                0.69633,                0.52747,                0.54843,                0.25104,                 2.0953,                 1.6442,                 1.5981,               0.003367,               0.003367,               0.003367
                     69,                 1.1768,                0.65412,                 1.0221,                0.69241,                0.47253,                 0.5255,                0.23789,                 2.1069,                 1.7483,                 1.6358,               0.003268,               0.003268,               0.003268
                     70,                 1.1902,                0.67869,                 1.0247,                 0.7101,                0.51648,                0.56687,                0.23286,                 2.1671,                 1.7092,                 1.6573,               0.003169,               0.003169,               0.003169
                     71,                 1.1438,                0.65789,                 1.0219,                0.67273,                0.49697,                0.54998,                0.23382,                  2.178,                 1.7534,                 1.6194,                0.00307,                0.00307,                0.00307
                     72,                 1.1415,                0.64575,                 1.0163,                 0.7441,                0.46154,                0.52202,                0.22455,                 2.1828,                  1.716,                 1.6393,               0.002971,               0.002971,               0.002971
                     73,                 1.1279,                0.65472,                 1.0037,                0.59969,                0.54945,                0.50893,                0.21939,                 2.2008,                 1.6863,                 1.6964,               0.002872,               0.002872,               0.002872
                     74,                  1.116,                 0.6347,                 1.0032,                 0.7513,                0.49799,                0.54686,                0.24015,                 2.1253,                 1.6076,                 1.6457,               0.002773,               0.002773,               0.002773
                     75,                 1.1031,                0.63724,                 1.0144,                0.72121,                0.48328,                0.52424,                0.22956,                 2.2007,                 1.6713,                 1.7063,               0.002674,               0.002674,               0.002674
                     76,                  1.093,                0.60135,                0.98442,                0.79066,                0.48352,                0.52517,                0.24398,                 2.1418,                 1.6203,                 1.6977,               0.002575,               0.002575,               0.002575
                     77,                 1.0388,                0.58383,                0.97497,                0.73967,                0.46839,                0.51388,                0.24234,                  2.181,                 1.6591,                  1.726,               0.002476,               0.002476,               0.002476
                     78,                 1.0494,                0.59464,                 0.9829,                 0.6997,                0.48352,                0.51713,                0.23311,                 2.2224,                 1.6081,                 1.7566,               0.002377,               0.002377,               0.002377
                     79,                 1.0143,                0.55506,                0.96782,                0.73983,                0.47253,                0.54185,                0.24884,                 2.1199,                 1.6539,                  1.641,               0.002278,               0.002278,               0.002278
                     80,                 1.0772,                0.60789,                0.99034,                 0.7202,                0.53745,                0.55475,                0.24623,                 2.1372,                 1.7303,                 1.6637,               0.002179,               0.002179,               0.002179
                     81,                 1.0004,                0.57131,                0.96133,                0.78551,                0.44273,                0.51841,                 0.2368,                 2.1618,                 1.7269,                 1.6847,                0.00208,                0.00208,                0.00208
                     82,                 1.0125,                0.57046,                0.95846,                0.70458,                0.51648,                0.55263,                0.24086,                  2.146,                 1.6636,                 1.6826,               0.001981,               0.001981,               0.001981
                     83,                 1.0231,                0.56685,                0.97112,                0.72895,                0.50245,                0.53332,                 0.2511,                 2.1086,                 1.7301,                  1.647,               0.001882,               0.001882,               0.001882
                     84,                  1.009,                0.55791,                0.97021,                0.75221,                0.51648,                0.56183,                 0.2552,                  2.095,                  1.712,                  1.628,               0.001783,               0.001783,               0.001783
                     85,                0.95962,                0.52267,                0.94883,                0.71517,                0.57947,                0.58107,                0.26718,                 2.1013,                 1.6439,                 1.6473,               0.001684,               0.001684,               0.001684
                     86,                 1.0132,                0.54859,                0.95749,                0.73769,                0.52747,                0.58304,                 0.2619,                 2.1219,                 1.6253,                 1.6875,               0.001585,               0.001585,               0.001585
                     87,                0.96564,                 0.5243,                 0.9494,                0.69843,                0.61538,                0.58654,                0.25424,                 2.1623,                 1.6375,                 1.6988,               0.001486,               0.001486,               0.001486
                     88,                0.92491,                0.51931,                0.93471,                0.73459,                0.60832,                0.59916,                0.25909,                 2.1568,                 1.6234,                 1.6817,               0.001387,               0.001387,               0.001387
                     89,                0.93161,                0.51365,                0.92861,                 0.7488,                0.57143,                 0.5927,                0.25267,                  2.182,                 1.6441,                 1.7157,               0.001288,               0.001288,               0.001288
                     90,                0.94002,                0.51313,                  0.936,                0.80678,                0.48352,                0.56142,                0.25538,                 2.1795,                 1.6102,                 1.7118,               0.001189,               0.001189,               0.001189
                     91,                0.92918,                0.47965,                0.95532,                0.68403,                0.52747,                0.53053,                0.24383,                 2.2193,                 1.6512,                 1.7301,                0.00109,                0.00109,                0.00109
                     92,                0.84594,                0.44797,                0.90144,                0.73563,                0.51648,                0.56582,                0.23649,                 2.1732,                 1.6858,                 1.6917,               0.000991,               0.000991,               0.000991
                     93,                0.85391,                0.43952,                0.91627,                0.81213,                0.43956,                0.52787,                0.24044,                 2.1302,                 1.6222,                 1.6859,               0.000892,               0.000892,               0.000892
                     94,                0.83556,                0.42302,                0.92043,                 0.8023,                0.48352,                0.56374,                0.23997,                 2.1698,                 1.6153,                 1.7234,               0.000793,               0.000793,               0.000793
                     95,                0.84274,                0.43124,                0.92761,                0.71511,                0.50549,                0.53826,                0.22905,                 2.1903,                 1.6508,                 1.7416,               0.000694,               0.000694,               0.000694
                     96,                0.79931,                 0.4154,                0.91287,                0.70959,                0.52747,                0.54219,                0.23686,                 2.1938,                 1.6417,                 1.7414,               0.000595,               0.000595,               0.000595
                     97,                0.79781,                  0.407,                0.90505,                0.68749,                0.55607,                0.57444,                0.24756,                 2.1973,                 1.6293,                 1.7479,               0.000496,               0.000496,               0.000496
                     98,                0.79464,                0.40983,                0.90589,                 0.7107,                0.54945,                0.55792,                0.24797,                 2.2288,                 1.6356,                 1.7597,               0.000397,               0.000397,               0.000397
                     99,                0.81249,                0.42621,                0.91143,                0.69824,                0.54945,                0.56492,                  0.248,                 2.2101,                 1.6603,                 1.7467,               0.000298,               0.000298,               0.000298
                    100,                0.76668,                0.39342,                0.89507,                 0.7246,                0.52747,                0.56116,                0.24598,                 2.2081,                 1.6462,                 1.7528,               0.000199,               0.000199,               0.000199
